timestamp,x,y,z,qx,qy,qz,qw
1670332786.429306,0.311424,-0.385247,0.111516,0.605617,-0.348856,0.3433,-0.627434
1670332786.479269,0.30051,-0.376572,0.110925,0.605572,-0.346657,0.343836,-0.628402
1670332786.529329,0.292042,-0.366528,0.10727,0.604422,-0.345738,0.344244,-0.62979
1670332786.579269,0.285771,-0.353189,0.104294,0.603324,-0.345629,0.34508,-0.630445
1670332786.629342,0.281313,-0.337023,0.101874,0.602264,-0.346199,0.346278,-0.630489
1670332786.679295,0.278679,-0.322114,0.096746,0.60193,-0.347728,0.347366,-0.629367
1670332786.729397,0.277577,-0.308203,0.0892861,0.602208,-0.350078,0.348363,-0.627243
1670332786.779349,0.276582,-0.286625,0.0851141,0.602783,-0.35278,0.349706,-0.624423
1670332786.829288,0.275665,-0.258569,0.0836937,0.603602,-0.35578,0.351339,-0.621003
1670332786.879308,0.27526,-0.232914,0.0769614,0.604332,-0.358897,0.352553,-0.617804
1670332786.929318,0.275305,-0.209407,0.0655736,0.604982,-0.362113,0.353396,-0.614803
1670332786.979325,0.276453,-0.183292,0.057611,0.604641,-0.366017,0.355186,-0.611788
1670332787.029538,0.278572,-0.154763,0.0526535,0.603408,-0.370542,0.357818,-0.60874
1670332787.079438,0.28146,-0.125114,0.051578,0.600321,-0.376706,0.360074,-0.606675
1670332787.129298,0.28497,-0.0944244,0.0536889,0.595657,-0.384239,0.362013,-0.605392
1670332787.179354,0.289341,-0.065058,0.0571238,0.592388,-0.389531,0.362413,-0.604978
1670332787.230995,0.29463,-0.0360098,0.0618459,0.590286,-0.393004,0.361477,-0.605347
1670332787.279295,0.293767,-0.0102546,0.0652576,0.59098,-0.392232,0.359226,-0.606509
1670332787.329369,0.288087,0.0152725,0.0679735,0.593869,-0.388129,0.355756,-0.60837
1670332787.379297,0.28254,0.0406679,0.0720779,0.5982,-0.382212,0.350916,-0.610679
1670332787.430274,0.27691,0.0665025,0.0774117,0.603776,-0.374631,0.344804,-0.613365
1670332787.479324,0.269583,0.0891601,0.0826736,0.609013,-0.366414,0.339617,-0.616039
1670332787.529310,0.260582,0.110488,0.0881169,0.614224,-0.357299,0.334868,-0.618813
1670332787.579333,0.25227,0.130088,0.0959166,0.618127,-0.349952,0.331553,-0.620906
1670332787.629310,0.244591,0.148232,0.105705,0.62095,-0.344128,0.32947,-0.622453
1670332787.679320,0.240614,0.160014,0.109078,0.623502,-0.340713,0.327355,-0.622895
1670332787.729339,0.239917,0.166197,0.106806,0.62583,-0.33943,0.325221,-0.622379
1670332787.779314,0.23848,0.169311,0.100454,0.627341,-0.338395,0.323743,-0.622192
1670332787.829316,0.236393,0.169731,0.0905033,0.628138,-0.33758,0.322844,-0.622298
1670332787.879349,0.235335,0.172568,0.0846051,0.628684,-0.336801,0.322718,-0.622234
1670332787.929374,0.235141,0.17743,0.0821094,0.629021,-0.336052,0.323243,-0.622026
1670332787.979364,0.235733,0.179153,0.0820824,0.629319,-0.335566,0.32399,-0.621598
1670332788.029254,0.236992,0.178206,0.0841546,0.629583,-0.335303,0.324924,-0.620984
1670332788.079300,0.239285,0.173899,0.083697,0.629353,-0.335915,0.325919,-0.620366
1670332788.129341,0.242473,0.16666,0.0810246,0.628687,-0.337291,0.326963,-0.619744
1670332788.179304,0.246874,0.157401,0.0782322,0.627696,-0.338875,0.32796,-0.619357
1670332788.229335,0.252299,0.146425,0.0753305,0.626429,-0.340634,0.328922,-0.619165
1670332788.279294,0.258467,0.132966,0.0713645,0.624571,-0.342375,0.330245,-0.619377
1670332788.329464,0.265288,0.117344,0.0664821,0.622205,-0.344108,0.331877,-0.619927
1670332788.379327,0.271113,0.0996844,0.0677072,0.620229,-0.344977,0.333637,-0.620478
1670332788.429382,0.276149,0.0801446,0.0741121,0.618568,-0.345125,0.335524,-0.621036
1670332788.479357,0.282457,0.0591501,0.0749537,0.618309,-0.343748,0.335862,-0.621875
1670332788.529325,0.289877,0.0368614,0.0709576,0.619264,-0.341042,0.334854,-0.622956
1670332788.579360,0.296937,0.010778,0.0658804,0.621066,-0.338345,0.332427,-0.623933
1670332788.629435,0.303683,-0.0184643,0.0599078,0.623561,-0.335651,0.328816,-0.624813
1670332788.679385,0.310869,-0.0439015,0.0595499,0.627671,-0.331564,0.323372,-0.62572
1670332788.729346,0.318383,-0.0663129,0.0638008,0.633075,-0.326302,0.31639,-0.62661
1670332788.779267,0.323243,-0.0941244,0.0653055,0.639285,-0.32012,0.310482,-0.626448
1670332788.829357,0.325956,-0.126453,0.0645643,0.646153,-0.313159,0.305412,-0.625413
1670332788.879332,0.330484,-0.156151,0.0641858,0.650371,-0.310173,0.302732,-0.623829
1670332788.929306,0.336637,-0.183579,0.0641405,0.652352,-0.310643,0.302137,-0.621812
1670332788.979300,0.341503,-0.207335,0.0698098,0.651338,-0.315152,0.302401,-0.620477
1670332789.029322,0.345204,-0.227877,0.0805043,0.647636,-0.323217,0.303407,-0.619712
1670332789.079319,0.353165,-0.246574,0.0856817,0.645031,-0.329974,0.304779,-0.618193
1670332789.129432,0.364832,-0.263718,0.0861239,0.643377,-0.335626,0.306478,-0.61603
1670332789.179272,0.375725,-0.27705,0.083528,0.641502,-0.339406,0.309459,-0.614422
1670332789.229345,0.386062,-0.287247,0.0783287,0.639424,-0.341625,0.313564,-0.613275
1670332789.279315,0.391382,-0.295642,0.0806057,0.638133,-0.340769,0.317959,-0.612833
1670332789.331512,0.392364,-0.302766,0.0898163,0.637493,-0.33706,0.322822,-0.613008
1670332789.379311,0.399179,-0.307798,0.0887465,0.635916,-0.334409,0.326643,-0.614073
1670332789.429404,0.410993,-0.311897,0.0801025,0.633478,-0.332221,0.330148,-0.615904
1670332789.479473,0.419274,-0.317758,0.0808219,0.630452,-0.331257,0.333006,-0.617986
1670332789.529385,0.424609,-0.325069,0.0892796,0.626947,-0.331307,0.335323,-0.620268
1670332789.579284,0.432771,-0.332025,0.0921502,0.624685,-0.332131,0.337425,-0.620969
1670332789.629318,0.443384,-0.338694,0.0902501,0.623485,-0.333621,0.339353,-0.620325
1670332789.679311,0.450509,-0.34625,0.0884796,0.622591,-0.335668,0.34036,-0.619567
1670332789.729268,0.45459,-0.354582,0.0868191,0.621963,-0.338202,0.340563,-0.618707
1670332789.779344,0.461078,-0.365404,0.0844583,0.621025,-0.339783,0.340795,-0.618656
1670332789.829377,0.469589,-0.378302,0.0815126,0.619827,-0.340554,0.341051,-0.619291
1670332789.879355,0.477685,-0.39697,0.0782141,0.617701,-0.341705,0.341372,-0.620603
1670332789.929339,0.485432,-0.42059,0.074607,0.614773,-0.343179,0.341747,-0.622488
1670332789.979302,0.491968,-0.443029,0.0731282,0.612228,-0.343668,0.341955,-0.624609
1670332790.029310,0.49745,-0.464464,0.0735129,0.610014,-0.343296,0.34202,-0.62694
1670332790.079302,0.501501,-0.492347,0.0731446,0.610792,-0.340152,0.340962,-0.62847
1670332790.129374,0.504344,-0.525679,0.0721334,0.61405,-0.334678,0.338957,-0.629318
1670332790.179274,0.508715,-0.556313,0.0689474,0.618208,-0.329801,0.336947,-0.628902
1670332790.229301,0.514416,-0.584812,0.0638745,0.623153,-0.325404,0.334918,-0.627393
1670332790.279361,0.519825,-0.612025,0.0591534,0.627469,-0.323641,0.332309,-0.625388
1670332790.329315,0.524974,-0.638091,0.0547457,0.631257,-0.324063,0.329229,-0.622981
1670332790.379295,0.530988,-0.661709,0.0513564,0.634136,-0.32607,0.327501,-0.619914
